#{"t_start": 1734865998.6786692, "env_id": "Humanoid-v4"}
r,l,t
111.295353,23,0.37479
152.776151,32,0.417077
106.007183,22,0.447412
172.327464,34,0.492658
76.400141,16,0.512704
98.810913,20,0.538547
184.191151,36,0.585065
98.789301,20,0.611661
86.241143,18,0.63517
76.50067,16,0.654615
95.359948,20,0.68026
89.153821,18,0.701543
90.695586,19,0.72646
170.146373,35,0.772061
88.699612,18,0.796089
137.79203,29,0.83431
129.023751,26,0.867236
93.78112,20,0.892733
86.06275,18,0.914274
87.666474,18,0.93851
93.481784,19,0.964021
99.748071,22,0.993242
83.502767,17,1.020685
103.932716,21,1.047412
87.193582,18,1.069107
158.486674,33,1.11423
186.860906,36,1.160502
94.493378,19,1.185744
80.961476,17,1.206032
86.472965,18,1.230166
112.643142,24,1.261827
76.496936,16,1.282172
111.76976,22,1.309561
87.414589,18,1.333899
97.396082,20,1.359408
241.102201,45,1.419242
159.402249,32,1.45985
243.439182,49,1.524146
158.347359,34,1.56987
106.980765,22,1.597707
177.93907,37,1.647829
93.858058,19,1.675883
220.086006,43,1.732049
132.448809,28,1.769569
143.95276,30,1.808482
76.530048,16,1.828244
81.556884,17,1.848748
90.054193,19,1.874861
188.916933,40,1.928069
174.8581,36,1.976607
117.219823,23,2.009427
76.728715,16,2.032979
154.928319,31,2.084726
121.568356,24,2.127196
109.903102,22,2.1656
92.85812,19,2.192755
81.245897,17,2.221057
129.677917,27,2.260835
99.156077,20,2.291943
110.84784,24,2.328166
121.250015,25,2.365407
86.795058,18,2.396779
184.340037,39,2.521126
207.274072,40,2.580671
197.430754,40,2.636287
126.530467,25,2.669923
166.930917,36,2.724288
208.74047,43,2.782126
105.084456,21,2.810802
192.269525,38,2.869843
133.130269,29,2.914196
184.17372,40,2.969361
222.153151,44,3.028551
76.311721,16,3.04809
200.808879,41,3.101316
166.951987,33,3.146627
221.065869,44,3.206144
260.412582,48,3.271885
288.172084,58,3.350718
249.167183,53,3.421097
120.12424,24,3.45302
312.539378,59,3.53412
141.237626,30,3.573895
130.550871,27,3.607266
188.467911,38,3.659413
88.838441,18,3.680827
167.922146,35,3.727052
179.347249,37,3.778806
301.00525,57,3.859708
218.527422,45,3.934437
127.155649,25,3.976979
242.035047,47,4.042741
259.618545,49,4.110774
256.640114,49,4.183217
358.296509,70,4.285142
293.453564,54,4.360698
76.677581,16,4.382551
76.642439,16,4.404452
300.058785,58,4.494065
76.177578,16,4.520161
71.727122,15,4.542245
330.600564,62,4.64042
272.407744,50,4.715473
384.032447,72,4.849993
271.217288,50,4.964489
366.527383,67,5.141598
393.771026,80,5.331423
247.311671,49,5.430885
293.395718,56,5.573003
212.515364,45,5.70305
225.420614,43,5.837991
267.531527,51,5.971477
309.940962,60,6.116287
274.944231,57,6.264704
291.1588,58,6.371873
318.050661,60,6.49213
294.456528,58,6.625462
179.320474,38,6.70754
260.357231,51,6.803658
252.013797,50,6.899414
274.996701,53,7.005794
258.179562,51,7.098487
267.822545,49,7.193547
326.474308,60,7.314688
370.743924,69,7.487369
296.692474,55,7.599101
476.789925,92,7.825246
299.82291,57,7.946688
298.027038,57,8.056788
323.785812,60,8.174762
288.827339,53,8.281382
266.71148,49,8.396701
313.762965,58,8.533962
280.855246,52,8.637269
322.33417,61,8.766266
315.294858,58,8.897267
331.260136,61,9.025989
66.439583,14,9.048923
71.288086,15,9.076892
67.009604,14,9.1051
71.563226,15,9.135412
71.419258,15,9.165196
66.870361,14,9.192816
71.68277,15,9.220779
66.713773,14,9.246934
66.777534,14,9.272688
66.591082,14,9.294995
61.944122,13,9.319715
71.465834,15,9.347838
71.670509,15,9.374432
66.654351,14,9.400524
66.718614,14,9.42747
71.584421,15,9.454234
66.709724,14,9.476065
71.570075,15,9.503015
66.883674,14,9.529497
71.543911,15,9.556694
71.506837,15,9.583359
71.421524,15,9.610309
71.713693,15,9.637583
67.005651,14,9.66415
71.317496,15,9.69184
71.643371,15,9.718837
71.650996,15,9.745819
66.750018,14,9.77352
76.377002,16,9.800981
76.392883,16,9.828492
71.319953,15,9.855475
76.545408,16,9.88297
71.625945,15,9.912286
92.78633,19,9.948505
278.640871,52,10.048732
76.208845,16,10.077037
71.529013,15,10.103778
109.908351,22,10.140267
200.576681,40,10.218579
292.899555,57,10.328979
308.549531,61,10.451679
302.459584,57,10.558827
317.015182,62,10.681881
71.641121,15,10.709201
291.124381,56,10.814958
359.50311,82,11.037344
269.562303,50,11.165921
264.61319,50,11.292245
276.480154,52,11.425542
353.069379,70,11.600663
248.303727,50,11.725811
286.393018,59,11.872119
268.276006,49,11.997547
272.007626,53,12.134365
509.871276,101,12.397338
380.193368,75,12.593798
245.130586,47,12.708651
243.719444,48,12.832485
71.610883,15,12.868416
71.663321,15,12.903854
71.745092,15,12.939229
71.616322,15,12.975294
76.000074,16,13.012379
71.568914,15,13.048064
66.588864,14,13.082524
71.572384,15,13.118524
71.18547,15,13.153601
66.651464,14,13.1878
71.475767,15,13.223826
71.561032,15,13.25867
71.611913,15,13.294398
71.413835,15,13.33006
71.402668,15,13.366282
71.484137,15,13.402796
71.463371,15,13.43921
76.326708,16,13.476154
71.602341,15,13.511905
71.431456,15,13.54617
71.390176,15,13.582181
75.970164,16,13.619838
76.113463,16,13.65697
76.057973,16,13.69949
71.603281,15,13.735403
71.722634,15,13.770694
71.547228,15,13.806577
71.505349,15,13.842034
76.214717,16,13.879859
71.358494,15,13.916061
71.488967,15,13.951987
71.401025,15,13.987556
71.328646,15,14.023376
76.05773,16,14.06041
76.218754,16,14.097507
71.41558,15,14.133653
71.480158,15,14.169157
71.45027,15,14.205284
76.251268,16,14.242539
71.546499,15,14.277375
71.544711,15,14.313157
71.699468,15,14.348725
76.379391,16,14.39065
76.128623,16,14.428149
71.447664,15,14.464589
71.404424,15,14.500003
76.289126,16,14.537138
71.289788,15,14.574072
76.277582,16,14.611716
71.353908,15,14.647259
71.631943,15,14.682739
76.257159,16,14.720342
76.175448,16,14.761564
76.165959,16,14.79837
71.769158,15,14.835362
71.620398,15,14.871194
76.35855,16,14.908285
71.739794,15,14.943889
76.250968,16,14.980773
71.666447,15,15.016522
71.49557,15,15.052178
81.206402,17,15.093944
123.590942,25,15.151819
71.417222,15,15.187058
101.696325,21,15.234641
71.61297,15,15.270306
71.677877,15,15.305159
71.580018,15,15.340641
71.480981,15,15.376374
71.477593,15,15.412083
71.535122,15,15.448084
71.695778,15,15.483575
71.346953,15,15.518502
71.82912,15,15.554641
76.255389,16,15.590577
71.660909,15,15.625901
71.42564,15,15.661386
76.245639,16,15.698375
71.35752,15,15.734264
76.191712,16,15.772099
71.582744,15,15.808134
71.581845,15,15.843472
71.420519,15,15.879532
76.47395,16,15.920951
71.59974,15,15.956707
71.292433,15,15.992078
71.593537,15,16.027371
71.144,15,16.063668
71.413583,15,16.09972
71.328072,15,16.135964
71.493723,15,16.1721
71.357883,15,16.209475
71.746463,15,16.256802
71.570477,15,16.297769
71.587484,15,16.338995
71.336553,15,16.377356
71.491153,15,16.415465
76.364472,16,16.453984
71.341787,15,16.491209
71.44947,15,16.530051
71.209319,15,16.573088
71.767161,15,16.610847
71.527756,15,16.691321
71.415446,15,16.74857
71.178945,15,16.786896
71.767145,15,16.823253
76.508671,16,16.861065
71.657185,15,16.898383
76.319932,16,16.93783
71.680165,15,16.975432
76.000281,16,17.013546
71.752509,15,17.050146
71.822445,15,17.087718
76.308349,16,17.133697
76.463714,16,17.172811
76.450162,16,17.218097
102.877881,21,17.268919
76.57641,16,17.306718
165.218697,33,17.387692
117.366284,25,17.447509
76.114695,16,17.484718
76.384935,16,17.52202
80.902996,17,17.5706
91.543513,19,17.620439
98.217657,21,17.68499
96.676389,20,17.760327
76.414607,16,17.821419
129.513073,26,17.905203
169.298516,33,18.021883
81.406801,17,18.071197
183.357259,35,18.198837
138.836217,27,18.281785
174.38292,33,18.394542
87.30227,18,18.46283
92.010279,19,18.526902
81.223192,17,18.587975
277.255863,54,18.817209
101.730387,21,18.873741
81.159174,17,18.962407
76.064959,16,19.038597
102.928343,21,19.124285
