#{"t_start": 1734881953.3117867, "env_id": "Walker2d-v4"}
r,l,t
-1.594848,11,5.672705
-2.611518,10,5.704026
-0.874264,16,5.752715
23.879875,55,5.930724
-1.651168,15,5.988706
2.761508,27,6.092629
1.224234,28,6.208338
29.732998,46,6.363204
52.511806,99,6.693972
13.839636,36,6.810558
25.162325,49,6.969103
74.934111,120,7.424753
-5.452125,8,7.457233
274.60795,159,8.217754
87.71044,149,9.033075
83.370613,147,9.719387
396.341347,268,10.985941
65.519672,122,11.567942
96.7802,137,12.244228
71.252615,103,12.690981
97.134093,128,13.123486
146.038779,185,13.742954
58.117764,89,14.047998
59.015846,83,14.330489
1.16753,12,14.381809
3.849026,22,14.464995
-7.292392,8,14.498813
106.482367,149,15.036166
45.949861,71,15.280075
442.538158,318,16.31785
106.220578,141,16.799471
68.352264,106,17.148973
-6.87655,10,17.18507
89.795434,123,17.578367
110.772595,140,18.050372
123.29247,159,18.586537
70.890454,108,18.958174
66.995345,104,19.31642
113.661504,148,19.813732
81.954883,118,20.215147
107.332281,142,20.668117
60.733587,85,20.943472
66.728185,92,21.263528
50.843129,73,21.501753
72.793863,97,21.818286
109.276786,133,22.25581
37.758708,60,22.442312
68.161724,94,22.848936
79.313809,107,23.337403
103.644469,129,23.917983
-0.813009,18,24.00697
69.780302,86,24.391565
61.553013,86,24.767356
47.997681,71,25.083961
84.938815,105,25.613986
94.743855,118,26.179061
59.159419,81,26.559575
122.252211,147,27.207575
59.566109,78,27.468635
87.483689,107,27.818699
103.022226,126,28.220389
53.915489,75,28.46153
6.411413,20,28.533835
2.065543,13,28.574142
74.093188,94,28.87919
85.896067,110,29.242916
-4.148531,8,29.270692
-3.330091,12,29.311119
57.33088,81,30.345503
358.717765,236,31.127141
27.174226,47,31.28448
59.818478,82,31.586715
94.655442,118,31.9753
61.184614,83,32.243196
68.004593,87,32.517543
109.765583,134,32.98792
373.642358,253,33.83567
34.498134,54,34.020003
41.650294,61,34.219015
100.090091,123,34.650296
65.704116,88,34.987401
54.856249,75,35.238428
45.098392,66,35.504149
63.314862,78,35.768942
129.612903,148,36.302568
58.452284,79,36.56869
103.206007,123,36.984364
403.287602,282,38.264393
458.869807,339,39.830407
36.989642,55,40.105124
337.83112,216,41.123313
398.237154,277,42.246256
67.154644,89,42.533564
110.466394,132,42.956717
42.76852,59,43.153779
9.801983,29,43.251404
51.62113,71,43.487378
28.217045,45,43.633932
93.896903,116,44.005811
83.904159,101,44.34434
38.26603,52,44.517202
82.548381,100,44.872992
114.799067,136,45.33675
