#{"t_start": 1734875838.115403, "env_id": "Walker2d-v4"}
r,l,t
3846.57928,1000,11.205033
3716.171719,1000,25.744318
3936.823407,1000,40.24845
1574.132584,419,46.828176
3843.358588,1000,61.389113
3998.740588,1000,75.950977
4072.921429,1000,96.169546
2782.601919,687,103.332
1509.011212,391,110.891027
3873.454606,1000,125.263474
3941.524552,1000,139.713052
3810.630933,1000,154.242915
1209.210295,318,160.56298
826.27751,232,161.196845
3963.652307,1000,175.961591
4020.245903,961,196.273101
2048.555392,524,203.126008
3592.460406,882,217.549218
1403.627097,360,218.5656
1884.526621,490,226.076712
1256.255288,332,232.883472
3959.807086,1000,247.898208
1889.088198,486,255.263953
4032.584128,1000,269.916998
1979.251478,512,277.713045
1122.505478,307,281.241975
2658.725104,656,295.220958
4050.282614,1000,309.902863
2407.712261,605,317.227249
3598.744604,1000,332.135783
4021.120511,1000,346.993078
3951.304024,1000,361.986355
4049.536279,1000,381.542601
2355.340185,586,389.133539
2223.780807,569,396.542562
2609.113066,653,404.631122
4171.05121,1000,419.252811
3021.2585,749,433.230589
4077.673649,968,441.040246
577.81154,176,448.133623
3695.539474,894,462.427936
3638.299044,899,475.85939
4108.510706,1000,490.428607
4129.194882,1000,504.982425
1301.096533,338,511.433447
3333.943458,792,519.905107
2169.672025,576,533.618691
4207.194372,1000,548.236974
502.473413,161,548.572366
4121.76321,1000,566.347
1528.416131,418,573.587361
2666.273074,666,581.134922
2446.635711,590,589.202043
4119.620814,1000,603.790994
2086.216123,509,610.568801
4210.145006,1000,625.096266
1597.272655,411,632.726145
1193.303321,315,633.390075
1465.72385,371,639.860817
1809.188497,476,647.619668
1662.389373,416,654.141917
3143.211135,774,665.398636
1792.361279,455,672.667413
1742.010947,450,679.898283
4048.364049,1000,694.542773
3634.352204,839,708.824102
2843.306499,706,717.171814
4096.963474,1000,731.852292
4257.461078,1000,746.355507
4061.123131,1000,764.47708
2437.544924,580,771.95707
2810.864534,667,779.616522
2423.751688,589,793.318601
2273.989891,549,800.924081
1531.476171,398,802.055311
3175.782838,756,816.101473
3953.798478,939,830.722235
2231.838674,520,837.584001
1337.997453,356,842.082464
1707.047909,431,849.313709
4187.01567,970,864.041479
3022.701689,708,877.910135
4074.308483,1000,886.880953
3936.485267,1000,901.468073
3600.078402,1000,916.0258
4037.412405,1000,930.665891
4086.712542,1000,950.319941
2465.644292,604,958.411165
4163.904653,1000,972.917879
3956.994444,1000,987.521132
2239.498332,559,994.361969
4008.619068,1000,1008.906967
2743.336093,689,1022.785218
295.905156,115,1023.025996
3533.54883,843,1042.077762
3984.668242,1000,1056.723412
4046.637564,1000,1071.202149
4172.298225,1000,1079.029765
4275.041432,1000,1093.586474
4087.675716,1000,1108.125734
2677.101932,656,1121.93601
4172.682984,1000,1141.955415
3209.024438,772,1149.247976
2367.277141,587,1157.242144
4210.628736,1000,1171.807542
2181.121798,548,1178.60602
2062.265158,511,1186.412043
4058.019412,1000,1201.032899
