#{"t_start": 1734868395.3183608, "env_id": "Walker2d-v4"}
r,l,t
6.612302,22,3.853748
-5.363224,18,5.278825
-2.735398,21,7.28029
2.744597,20,8.630779
-1.675275,9,9.497991
2.450357,36,11.502148
-1.540905,13,12.230477
24.29498,36,14.573583
0.23512,14,15.364892
6.60257,18,16.385243
2.609556,14,17.187798
5.029287,18,18.540375
-2.56566,8,19.272934
2.555794,31,22.084392
1.535474,27,23.580923
-2.519345,12,24.244967
-1.96699,23,25.845453
-1.05124,9,26.354829
4.008617,16,27.247285
-1.52506,15,28.083361
-2.83293,14,28.889407
-6.571504,10,29.449927
-7.09749,26,31.459402
2.970989,15,32.843032
-0.067399,15,34.276089
-1.707649,8,34.882567
6.085266,28,36.4343
-4.152249,13,37.51242
0.978048,19,470.886244
-2.394407,21,472.088453
-0.89404,16,473.017873
-3.003813,15,473.834915
2.41767,15,475.433394
1.865403,14,476.216927
-4.98248,24,477.528876
2.655182,14,478.452849
-2.536193,29,481.894136
-3.825228,14,482.676306
10.284007,40,484.987572
-6.90675,34,487.693294
-5.225884,19,488.81185
-3.428516,18,489.861646
-2.695872,14,490.732533
5.351704,16,492.708344
-0.538279,18,494.491164
-1.953913,13,495.410541
1.440522,22,496.793466
-0.551832,18,497.838942
8.245374,27,500.184955
-2.334391,8,500.648853
-6.160471,16,501.601855
1.739924,16,502.516399
-0.863024,14,503.297824
0.947506,19,505.271632
5.516748,20,507.159543
2.38714,12,938.743028
28.646517,56,943.94446
-1.998081,9,944.479579
3.726514,14,945.277153
-2.565118,21,946.455511
6.749751,30,948.847555
11.888226,43,951.262437
7.539527,30,953.665678
-0.905484,15,955.825234
-0.385848,11,956.428016
7.554456,20,957.552609
1.873467,21,958.707582
-2.317519,23,959.965271
-4.668238,8,961.112606
12.461831,30,962.75783
-2.972438,21,963.90524
0.081247,10,964.444152
-3.265666,11,965.047701
-1.617084,8,966.488222
-0.932909,18,968.217689
0.12108,14,969.199848
3.276956,26,970.631393
-3.28439,20,971.765502
11.123365,29,974.126852
3.105806,15,1405.121105
-2.449571,13,1405.854082
-0.334833,22,1407.06021
20.859478,35,1409.683247
28.456206,38,1412.814692
16.061671,39,1416.193644
8.40398,35,1418.137842
-2.381993,10,1418.667806
5.173084,20,1420.491846
4.341433,24,1421.810457
20.057203,43,1424.351086
8.393648,26,1427.666229
17.677547,56,1430.763866
10.712278,36,1433.500566
5.350126,19,1434.547832
4.741392,16,1435.430216
0.868398,22,1436.654459
2.837727,37,1440.872487
-2.638592,12,1441.534039
32.295156,53,1874.946688
-0.262124,28,1876.484194
3.448175,16,1877.403649
2.886246,29,1879.725281
1.332939,15,1880.547251
25.474153,42,1884.163287
14.823516,35,1886.826977
9.592889,29,1888.418864
30.577191,66,1892.805971
35.580025,58,1898.022171
47.878497,97,1904.083136
9.116441,35,1906.062203
