#{"t_start": 1734868395.5690265, "env_id": "Walker2d-v4"}
r,l,t
-2.346997,8,2.812805
2.626613,25,4.431057
5.021527,20,6.257052
0.351433,15,7.603128
0.891701,12,8.330215
2.052151,13,9.422375
-8.445368,15,10.251376
9.348855,29,11.881282
5.790626,35,14.170309
-3.173467,14,14.95475
-1.93196,19,16.035503
7.94935,23,17.32795
-6.087643,15,18.655712
-3.976865,20,21.011645
14.215412,23,22.293821
11.232545,26,23.721543
-3.160621,16,24.604053
0.563472,38,27.072987
2.670212,29,28.707795
4.943383,31,30.832633
-0.110329,13,32.043275
29.537355,38,35.134917
5.162601,22,36.706661
-1.241323,18,470.036923
-1.313035,11,470.646859
0.145005,14,471.430006
30.131121,54,475.25195
1.554316,15,476.085044
19.612886,45,479.025057
8.861246,29,482.159356
-3.945913,26,483.637448
0.801229,21,484.862378
-1.961391,20,486.746024
-0.400076,14,487.57024
-6.345094,13,488.340942
-1.580657,9,488.859358
0.07018,13,489.622927
1.535049,23,491.010473
-2.796052,13,493.055232
0.067075,14,494.47314
2.497906,22,495.895801
2.03341,22,497.175932
-3.18371,13,497.94685
-3.948958,9,499.211655
-2.240369,17,500.235191
0.193214,10,500.827953
4.586703,21,502.052105
-4.210239,9,502.568102
0.627363,11,503.167226
-0.99846,24,505.677431
-0.546386,14,507.023698
-0.799431,11,938.511217
7.183374,26,940.930197
0.650733,12,941.920401
4.629173,23,944.017469
15.849103,33,945.881001
6.697272,23,947.186508
-3.889035,15,948.717631
24.056623,52,951.667555
10.155188,19,953.432635
2.206757,27,956.248367
12.034242,31,957.961905
3.831912,16,958.845433
12.313616,27,961.03323
5.803846,23,962.296721
5.068183,22,963.502552
14.353599,44,967.419382
31.966441,44,970.283328
1.998235,12,970.953139
3.736691,16,972.586732
3.316285,21,973.777805
1.759718,15,974.59124
-0.293275,10,1405.329009
8.378969,37,1408.081375
25.881523,44,1410.84117
5.052874,18,1412.490124
15.856318,37,1415.772952
3.665661,13,1416.529506
-4.373862,14,1417.293904
11.000008,29,1418.873107
5.231227,17,1420.528607
5.052394,19,1421.57224
20.607453,43,1424.118269
0.707947,13,1426.368571
7.626004,44,1429.119702
-4.964925,25,1430.524594
12.536382,34,1433.152629
2.558606,12,1433.810252
7.294628,29,1435.421801
4.689595,24,1437.710856
3.917351,16,1439.177928
-4.288937,9,1440.043959
4.623004,15,1441.130002
6.191824,47,1874.181902
0.23647,13,1874.921498
-2.977577,12,1875.582155
4.060099,14,1876.356967
16.080918,30,1878.039032
0.469212,12,1879.432437
-1.095641,22,1880.641903
19.07207,29,1883.286944
37.332598,68,1888.018331
-3.777376,9,1888.498973
7.964073,23,1889.75879
25.025922,50,1893.294342
5.716345,17,1894.46099
9.754202,26,1897.664804
-7.299106,28,1899.227297
4.698599,29,1900.804054
1.168644,13,1901.511091
13.636311,37,1904.279588
-1.321019,18,1905.292351
4.919521,17,1906.256332
